POSITION,FIRSTNAME,LASTNAME,COUNTRY,RUNS,MATCHES
1,Rohit,Sharma,IND,648,9
2,David,Warner,AUS,647,10
3,Shakib,Hasan,BAN,606,8
4,Kane,Williamson,NZ,578,10
5,Joe,Root,ENG,556,11
6,Jonny,Bairstow,ENG,532,11
7,Aaron,Finch,AUS,507,10
8,Babar,Azam,PAK,474,8
9,Ben,Stokes,ENG,468,11
10,Jason,Roy,ENG,443,8
11,Virat,Kohli,IND,442,9
12,Faf,Plessis,SA,387,9
13,Steve,Smith,AUS,379,10
14,Alex,Carey,AUS,375,10
15,Eoin,Morgan,ENG,371,11
16,Mushfiqur,Rahim,BAN,367,8
17,Nicholas,Pooran,WI,367,9
18,KL,Rahul,IND,360,9
19,Ross,Taylor,NZ,350,10
20,Usman,Khawaja,AUS,316,9
21,Jos,Buttler,ENG,312,11
22,Rassie,Dussen,SA,310,9
23,Imam-ul-Haq,,PAK,305,8
24,Quinton,Kock,SA,305,9
25,Shai,Hope,WI,274,9
26,Kusal,Perera,SL,273,7
27,MS,Dhoni,IND,273,9
28,Rahmat,Shah,AFG,258,9
29,Shimron,Hetmyer,WI,257,9
30,Jimmy,Neesham,NZ,256,10
31,Mohammad,Hafeez,PAK,253,8
32,Angelo,Mathews,SL,244,7
33,Chris,Gayle,WI,242,9
34,Tamim,Iqbal,BAN,231,8
35,Najibullah,Zadran,AFG,230,8
36,Hardik,Pandya,IND,226,9
37,Dimuth,Karunaratne,SL,222,7
38,Mahmudullah,,BAN,219,7
39,Hashim,Amla,SA,203,7
40,Avishka,Fernando,SL,203,4
41,Haris,Sohail,PAK,198,5
42,Hashmatullah,Shahidi,AFG,197,8
43,Gulbadin,Naib,AFG,194,9
44,Colin,Grandhomme,NZ,190,10
45,Martin,Guptill,NZ,188,10
46,Fakhar,Zaman,PAK,186,8
47,Liton,Das,BAN,184,5
48,Glenn,Maxwell,AUS,177,10
49,Jason,Holder,WI,170,9
50,Soumya,Sarkar,BAN,166,8
